--------- beginning of main
10-25 18:34:06.513  9332  9332 I om.projectdeto: Late-enabling -Xcheck:jni
10-25 18:34:06.521  9332  9332 I om.projectdeto: Unquickening 12 vdex files!
--------- beginning of system
10-25 18:34:06.531  9332  9332 W ActivityThread: Package uses different ABI(s) than its instrumentation: package[com.projectdetox]: arm64-v8a, null instrumentation[com.projectdetox.test]: null, null
10-25 18:34:06.532  9332  9332 I om.projectdeto: The ClassLoaderContext is a special shared library.
10-25 18:34:06.532  9332  9332 I chatty  : uid=10215(com.projectdetox) identical 1 line
10-25 18:34:06.532  9332  9332 I om.projectdeto: The ClassLoaderContext is a special shared library.
10-25 18:34:06.627  9332  9332 D ApplicationLoaders: Returning zygote-cached class loader: /system/framework/android.test.base.jar
10-25 18:34:06.627  9332  9332 D ApplicationLoaders: Returning zygote-cached class loader: /system/framework/android.test.base.jar
10-25 18:34:06.627  9332  9332 I om.projectdeto: The ClassLoaderContext is a special shared library.
10-25 18:34:06.628  9332  9332 D ApplicationLoaders: Returning zygote-cached class loader: /system/framework/android.test.base.jar
10-25 18:34:06.628  9332  9332 D ApplicationLoaders: Returning zygote-cached class loader: /system/framework/android.test.base.jar
10-25 18:34:06.628  9332  9332 I om.projectdeto: The ClassLoaderContext is a special shared library.
10-25 18:34:06.628  9332  9332 I chatty  : uid=10215(com.projectdetox) identical 2 lines
10-25 18:34:06.628  9332  9332 I om.projectdeto: The ClassLoaderContext is a special shared library.
10-25 18:34:06.719  9332  9332 W om.projectdeto: Accessing hidden method Landroid/app/Instrumentation;->execStartActivity(Landroid/content/Context;Landroid/os/IBinder;Landroid/os/IBinder;Landroid/app/Activity;Landroid/content/Intent;ILandroid/os/Bundle;)Landroid/app/Instrumentation$ActivityResult; (greylist, linking, allowed)
10-25 18:34:06.719  9332  9332 W om.projectdeto: Accessing hidden method Landroid/app/Instrumentation;->execStartActivity(Landroid/content/Context;Landroid/os/IBinder;Landroid/os/IBinder;Ljava/lang/String;Landroid/content/Intent;ILandroid/os/Bundle;)Landroid/app/Instrumentation$ActivityResult; (greylist, linking, allowed)
10-25 18:34:06.720  9332  9332 D NetworkSecurityConfig: Using Network Security Config from resource network_security_config debugBuild: true
10-25 18:34:06.721  9332  9332 D NetworkSecurityConfig: Using Network Security Config from resource network_security_config debugBuild: true
10-25 18:34:06.725  9332  9332 I MonitoringInstr: Instrumentation started!
10-25 18:34:06.727  9332  9332 V TestEventClient: No service name argument was given (testDiscoveryService, testRunEventService or orchestratorService)
10-25 18:34:06.730  9332  9332 V fb-UnpackingSoSource: locked dso store /data/user/0/com.projectdetox/lib-main
10-25 18:34:06.730  9332  9332 V fb-UnpackingSoSource: deps mismatch on deps store: regenerating
10-25 18:34:06.730  9332  9332 V fb-UnpackingSoSource: so store dirty: regenerating
10-25 18:34:06.745  9332  9332 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libc++_shared.so: deferring to libdir
10-25 18:34:06.745  9332  9332 D ApkSoSource: not allowing consideration of lib/arm64-v8a/libevent-2.1.so: deferring to libdir
